date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-11-12,139.4215,140.0401,138.9748,139.1122,3378229,3378229,-1.1856,-0.845,139.3136,"Nov 12, 14",-0.11489230119272281
2014-11-13,139.181,139.8683,139.0091,139.8597,3239726,3239726,0.747456,0.537,139.498,"Nov 13, 14",-0.11013629844919319
2014-11-14,139.2669,141.3202,138.9146,141.0367,4978415,4978415,1.177,0.842,140.7618,"Nov 14, 14",-0.10264758242359545
2014-11-17,141.0367,141.7326,140.6587,141.0367,4798933,4798933,0,0,141.2107,"Nov 17, 14",-0.10264758242359545
2014-11-18,141.5264,141.5436,139.0864,139.0864,5412495,5412495,-1.9503,-1.383,139.5557,"Nov 18, 14",-0.11505645486601122
2014-11-19,139.2239,139.2669,138.2874,138.6912,3802631,3802631,-0.395204,-0.284,138.6514,"Nov 19, 14",-0.11757093283824245
2014-11-20,138.2789,138.7514,137.2908,138.0125,4183102,4183102,-0.678722,-0.489,137.7317,"Nov 20, 14",-0.12188919245300318
2014-11-21,139.0349,139.138,138.107,138.2531,4076875,4076875,0.240559,0.174,138.5388,"Nov 21, 14",-0.1203583640114069
2014-11-24,138.7857,140.779,138.3734,139.3098,6619032,6619032,1.0567,0.764,139.6879,"Nov 24, 14",-0.1136350622066072
2014-11-25,139.7394,140.4697,138.8029,138.9748,4062378,4062378,-0.335065,-0.241,139.2758,"Nov 25, 14",-0.11576651494116567
2014-11-26,139.1208,139.2669,138.3304,139.138,3967223,3967223,0.163236,0.117,138.8118,"Nov 26, 14",-0.11472814751943441
2014-11-28,139.8253,140.358,138.6998,139.327,2405512,2405512,0.189011,0.136,139.6325,"Nov 28, 14",-0.11352562642441494
2014-12-01,138.8717,140.3107,138.6225,138.7857,4168384,4168384,-0.541261,-0.388,138.9519,"Dec 1, 14",-0.11696967229073281
2014-12-02,139.5848,139.8081,138.8717,139.7566,3465747,3465747,0.970832,0.7,139.4405,"Dec 2, 14",-0.11079227688779916
2014-12-03,139.5848,141.346,139.181,141.346,6434994,6434994,1.5894,1.137,140.5393,"Dec 3, 14",-0.10067964710777773
2014-12-04,140.9078,141.3288,140.0487,140.9422,3862916,3862916,-0.403797,-0.286,140.805,"Dec 4, 14",-0.1032488429711051
2014-12-05,140.5642,141.3288,139.9628,140.2721,3013500,3013500,-0.67013,-0.475,140.2971,"Dec 5, 14",-0.10751238469476969
2014-12-08,140.2893,140.2893,138.7857,139.0607,2851383,2851383,-1.2114,-0.864,139.3517,"Dec 8, 14",-0.11521997228475198
2014-12-09,138.1844,140.0573,138.15,140.0315,3865905,3865905,0.970832,0.698,139.2983,"Dec 9, 14",-0.10904321313636599
2014-12-10,140.0487,140.3236,137.4884,137.9008,4082384,4082384,-2.1307,-1.522,138.3711,"Dec 10, 14",-0.1225998887827051
2014-12-11,138.1672,139.98,137.9094,138.382,3989571,3989571,0.481119,0.349,139.0759,"Dec 11, 14",-0.11953823189951253
2014-12-12,137.6775,137.8922,133.4505,133.4934,8611748,8611748,-4.8885,-3.533,134.811,"Dec 12, 14",-0.15064217171492233
2014-12-15,133.966,134.661,131.3112,131.5002,6500311,6500311,-1.9932,-1.493,132.2754,"Dec 15, 14",-0.16332399735827113
